topic,word,weight
39,physical,248
39,drawing,242
39,plan,238
39,natural,232
39,scale,223
39,houses,217
39,spaces,215
39,interior,210
40,video,5808
40,art,5698
40,work,4294
40,digital,3195
40,electronic,3004
40,images,2971
40,artists,2784
40,new,2650
40,information,2618
40,media,2443
40,web,2063
40,image,2021
40,artist,2000
40,works,1929
40,installation,1857
40,use,1830
40,two,1816
40,project,1717
40,computer,1613
40,text,1500
40,different,1391
40,performance,1362
40,used,1361
40,network,1356
40,interactive,1340
40,television,1295
40,gallery,1242
40,created,1210
40,york,1200
40,site,1169
40,using,1125
40,part,1109
40,live,1105
40,participants,1101
40,arts,1044
40,piece,966
40,series,899
40,http,882
40,camera,877
40,www,873
40,medium,872
40,words,868
40,museum,824
40,three,819
40,public,812
40,exhibition,809
40,multimedia,754
40,personal,753
40,center,744
40,sound,734
